filename,fx,level,gain,tone/eq1,tone/eq2,tone/eq3,tone/eq4,audio_type,mel_path,label
G61-40100-1111-20593.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-40100-1111-20593.npy,0
G61-41101-1111-20594.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-41101-1111-20594.npy,0
G61-42102-1111-20595.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-42102-1111-20595.npy,0
G61-43103-1111-20596.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-43103-1111-20596.npy,0
G61-44104-1111-20597.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-44104-1111-20597.npy,0
G61-45105-1111-20598.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-45105-1111-20598.npy,0
G61-45200-1111-20606.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-45200-1111-20606.npy,0
G61-46106-1111-20599.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-46106-1111-20599.npy,0
G61-46201-1111-20607.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-46201-1111-20607.npy,0
G61-47107-1111-20600.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-47107-1111-20600.npy,0
G61-47202-1111-20608.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-47202-1111-20608.npy,0
G61-48108-1111-20601.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-48108-1111-20601.npy,0
G61-48203-1111-20609.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-48203-1111-20609.npy,0
G61-49109-1111-20602.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-49109-1111-20602.npy,0
G61-49204-1111-20610.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-49204-1111-20610.npy,0
G61-50110-1111-20603.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-50110-1111-20603.npy,0
G61-50205-1111-20611.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-50205-1111-20611.npy,0
G61-50300-1111-20619.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-50300-1111-20619.npy,0
G61-51111-1111-20604.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-51111-1111-20604.npy,0
G61-51206-1111-20612.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-51206-1111-20612.npy,0
G61-51301-1111-20620.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-51301-1111-20620.npy,0
G61-52112-1111-20605.npy,clean,,,,,,,Mono_Clean,c:\Users\Proff\OneDrive\Desktop\Guitar_FX_Classification_Project\Mel_Spectrograms\Clean\Mono_Clean\G61-52112-1111-20605.npy,0
